;reviews_english;neg;neu;pos;compound
39;bar delicious  ;0.0;0,213;0,787;0,5719
40;taste super delicious;0.0;0,116;0,884;0,8225
41;honestly best protein bar ever eaten    ve tried many best;0.0;0,38;0,62;0,9081
42;natural taste explosion ideal quick breakfast;0.0;0,404;0,596;0,7096
43;composition ingredient outstanding   everything need;0.0;0,5;0,5;0,6124
44;tasty    ;0.0;1;0;0
45;really delicious   even like better berry version    s easier chew 😁;0.0;0,286;0,714;0,9092
46;hele lekkere bar met prima macro ’;0.0;1;0;0
47;really great taste brilliant nutritionally found bit hard  ;0.094;0,337;0,569;0,8425
48;really like goat bar berry like use pre workout      ;0.0;0,556;0,444;0,6794
49;pour l instant je n ai pa tout testé j ai pris beaucoup d échantillons sucre present gout;0.103;0,897;0;-0,128
50;tasty filling bar great nutritional value   like one  m go  ;0.0;0,4;0,6;0,8402
52;think bar really good   nice bite proof change designer bar  ;0.0;0,561;0,439;0,7408
53;recommend friend lad gym;0.0;0,26;0,74;0,6908
54;delicious protein bar fill provides protein   good everyone n t always chocolate;0.0;0,548;0,452;0,765
55;hij    s really delicious    ;0.0;0,334;0,666;0,6115
56;goeie bar ever long full zit  ;0.0;1;0;0
57;great bar   stevige bite   goede smaak  ;0.0;0,549;0,451;0,6249
58;taste like tasty oatmeal muesli bar   berry sweet   something completely different typical protein bar   still bit protein   really good  ;0.0;0,648;0,352;0,8268
59;also test goat bar;0.0;1;0;0
60;ze zijn heerlijk zeker aanrader   n t need ontbijt;0.0;1;0;0
61;  bar perfect accompaniment every mountain tour   taste incredibly good   ideal consistency   neither dry sticky   really filling   time   provide plenty energy   exactly need go   absolute must have backpack  ;0.0;0,645;0,355;0,9131
62;  tasty fill well   perfect snack  ;0.0;0,341;0,659;0,7003
63;everyone smak   ik personallijk fromd hem niet lekjer;0.0;1;0;0
64;buone barrette   sapore dalla tendenza dolce senza diventare stucchevole e senza eccessiva presence di aromi tale da confondere il palato;0.0;1;0;0
65;delicious;0.0;0;1;0,5719
66;top;0.0;0;1;0,2023
67;waiting   “ muesli ” bar lot protein   normal protein bar often sweet transported well heat   goat bar perfect firm consistency make easy chew   feel like meal snack  ;0.0;0,585;0,415;0,9217
68;taste really good ideal breakfast substitute  re go;0.0;0,466;0,534;0,7828
69;super tasty good sweetie fill great nutritional value;0.0;0,154;0,846;0,9477
70;bar taste good;0.0;0,408;0,592;0,4404
71;stevige hap   vult good  ;0.0;0,508;0,492;0,4404
72;relatively sweet perfect training  ;0.0;0,23;0,77;0,7717
73;bar brutal   taste simply great long lasting feeling satiety👍;0.261;0,382;0,357;0,128
74;goat bar exactly right consistency taste fruity nutty    m absolutely thrilled   😍;0.0;0,738;0,262;0,4927
75;tasty energy bar made natural ingredient   provides power protein  ;0.0;0,603;0,397;0,5574
76;ideal goed vullend lekker tussendoortje  ;0.0;0,541;0,459;0,5267
77;super tasty keep full long time;0.0;0,562;0,438;0,5994
78;yummy;0.0;0;1;0,5267
79;delicious   stick teeth   always something drink  ;0.0;0,575;0,425;0,5719
81;loved   packed energy  ;0.0;0,143;0,857;0,7184
82;bar bit “ dry ”   mainly natural ingredient   think really great    ;0.0;0,504;0,496;0,7841
83; re happy answer;0.0;0,351;0,649;0,5719
84;taste good bit sticky;0.0;0,508;0,492;0,4404
86;bar really good   yummy   right meal training snack  ;0.0;0,466;0,534;0,7828
87;tasty bar great nutritional value;0.0;0,316;0,684;0,7579
88;good ingredient   good value   taste great;0.0;0,14;0,86;0,9062
89;delicious   could eat half   filling nut fruit;0.0;0,619;0,381;0,5719
90;megggaa extremely great taste 🤩🤩🙏;0.0;0,477;0,523;0,659
91;taste good   chew lot also fill   really practical little hunger go before after gym  ;0.117;0,711;0,172;0,2333
92;tasty less sweet satisbites   like take training;0.0;0,503;0,497;0,6051
93;goat bar definitely big recommendation     super tasty   definitely something completely different   new   something  ve never eaten   protein bar burdensome   easy digest satisfies hunger hour    ;0.13;0,462;0,408;0,8807
94;husband love bar   five star i m    s bit dry three star   make 4 overall   could juicier   fill well;0.0;0,674;0,326;0,743
95;oprecht lekkere reep good value   people quickly get opgeblazen buik hebben really device;0.0;0,675;0,325;0,6486
96;bar ok   quite sticky mouth bit bitter taste   could sweeter taste less like whey protein  ;0.146;0,625;0,229;0,1548
97;little hard eat   otherwise  s pretty good snack  ;0.099;0,357;0,544;0,7178
98;good taste   would imagined softer  ;0.0;0,58;0,42;0,4404
99;top composition bar optimal nutritional value   however   taste little bitter finish good teeth required   n t taste good   work     taste 6 10  ;0.091;0,473;0,436;0,8159
100;taste good   sweet   right;0.0;0,253;0,747;0,7096
101;taste good   consistency bit tough;0.203;0,405;0,392;0,34
102;son think bar great    s easy chew keep full long time   thrilled ordered three immediately first sample box  ;0.0;0,586;0,414;0,872
103;tasty also hard   recommended brace wearer people sensitive teeth   tasty always fill 😉;0.106;0,758;0,136;0,1027
104;heerlijke reep   en zonder chocolate  ;0.0;1;0;0
105;taste good   sweet   natural 👍;0.0;0,106;0,894;0,8126
106;smaak good   structure beautiful plain;0.0;0,306;0,694;0,7783
107;top value   rule recommend really make difference  ;0.0;0,374;0,626;0,6908
108;  successful   healthy snack meal   used breakfast substitute need go quicker work   consistency okay   something like muesli bar   bit sticky   therefore 4 5 star;0.0;0,609;0,391;0,872
109;sweet   hard really filling   berry complete great   fruity taste;0.097;0,414;0,49;0,7717
110;taste good;0.0;0,256;0,744;0,4404
111;tasty soft sweet  ;0.0;0,4;0,6;0,4588
112;tasty unfortunately firm sticky 😏;0.444;0,556;0;-0,34
113;nice alternative sweet protein bar   provides energy day n t weigh  ;0.0;0,432;0,568;0,7845
114;nice alternative protein bar   little like muesli bar   chewy rich  ;0.0;0,449;0,551;0,8228
115;delicious  ;0.0;0;1;0,5719
116;great bar   especially pre workout   taste appealing   consistency take getting used    s reason lower rating   nutritional value ​​are great  ;0.082;0,522;0,396;0,8555
117;bar solid   taste great   took hiking marathon gave good energy meal   buy  ;0.0;0,428;0,572;0,8658
118;finally really useful bar  ;0.0;0,484;0,516;0,4927
119;tasty   good quick snack training   quite something bite   hopefully variety soon   chocolate peanut maybe    ;0.0;0,672;0,328;0,7063
120;finally perfect pre workout snack    s nothing like   nothing melt get flattened bag    s nice chew   sweet   variety please woe betide take range 🤣🫶;0.15;0,489;0,361;0,7839
121;great taste   great thing  ;0.0;0,196;0,804;0,8481
122;term taste   could taste bit like berry bit dry;0.0;0,762;0,238;0,3612
123;super tasty;0.0;0,204;0,796;0,5994
124;ideal go   top consistency   taste 1a  ;0.0;0,435;0,565;0,6369
125;top tasty;0.0;0,357;0,643;0,2023
126;perfect energy kick little sweetness enough protein despite low kcal count   become must training    ;0.0;0,487;0,513;0,8598
127;perfect protein bar   without extreme sweetness   robust   fresh   fruity  ;0.298;0,319;0,383;0,3261
