Review,Title,Content,reviews_english
Review 21,GOAT Bar Berries,Mega lecker :),Super delicious :)
Review 22,Mega lecker,Sehr lecker,Delicious
Review 23,Sehr lecker!,"Der Goat Bar ist super lecker, leicht und sättigend. Absolut empfehlenswert!","The Goat Bar is super tasty, light and filling. Absolutely recommended!"
Review 24,Super lecker und sättigend,"Der Riegel ist sehr lecker, gut sättigend und ideal z.B. für die Arbeit. Der Geschmack ist top, nicht zu süß und in Kombi mit Berries genial. Da ich sie erstmal testen wollte, habe ich nur eine Packung bestellt,was mich im Nachhinein ärgert,da es sie derzeit leider nicht gibt. Kann sie sehr empfehlen, denn sie sind eine gute Ergänzung zu meinen Lieblings Designer Bars 🫶🏼","The bar is very tasty, filling and ideal for work, for example. The taste is great, not too sweet and great in combination with berries. Since I wanted to test them first, I only ordered one pack, which later annoys me because unfortunately they aren't available at the moment. I can highly recommend them as they are a good addition to my favorite designer bars 🫶🏼"
Review 25,Optimaler Snack für zwischendurch,"- angenehme Konsistenz
- für einen Riegel relativ gut sättigend
- gute Nährwerte und Inhaltsstoffe","- pleasant consistency
- relatively filling for a bar
- good nutritional values and ingredients"
Review 26,Super Produkt,Süüper,Süüper
Review 27,Krass..,Wirklich lecker und auch eine sehr gute Konsistenz. Bester Riegel!,Really tasty and also a very good consistency. Best bar!
Review 28,Sehr lecker,"Konsistenz nicht zu hart und nicht zu weich, geschmacklich auch sehr gut, lass ich nur empfehlen…

Wird wieder bestellt…","The consistency is not too hard and not too soft, the taste is also very good, I can only recommend it...

Will order again…"
Review 29,Top,Einfach nur lecker 😋 . Rettet mich nach einem anstrengenden Training,Simply delicious 😋 . Save me after a strenuous workout
Review 30,Top,Sehr gutes Produkt,Very good product
Review 31,Man will mehr davon,"Geschmacklich was Neues .
Etwas gewöhnugsbedürftig.
Hat der Gaumen sich daran gewöhnt, will man mer mehr","Something new in terms of taste.
Takes a bit of getting used to.
Once your palate gets used to it, you'll want more"
Review 32,Sehr gutes Produkt,Geschmacklich top! Auch die Konsistenz ist gut.,Tastes great! The consistency is also good.
Review 33,Prima tussendoortje,"Heerlijk reep 
Goede smaak 
En vult goed","Heerlijk reep 
Goede smaak 
En vult good"
Review 34,Goatbar 2.0 = GOAT,"Die bearbeitete Version vom Riegel verdient wirklich seinen Namen. Die neue Version ist mit der 1. Version gar nicht mehr zu vergleichen. Während man beim 1. Riegel Angst haben musste, dass man sich einen Zahn abbricht, kann man hier ganz entspannt essen. Der riegel bleibt auch nicht überall hängen.","The edited version of the bar really deserves its name. The new version can no longer be compared with the 1st version. While you had to worry about breaking a tooth with the first bar, here you can eat in a very relaxed manner. The latch doesn't get stuck everywhere either."
Review 35,Verdient den Namen Goat,Ich muss sagen dieser Riegel ist echt eine 10/10. Konsistenz nicht zu vergleichen mit der alten vom Goatbar Berry. Geschmacklich auch der Hammer. Da hat ESN echt einen rausgehauen.,I have to say this bar is really a 10/10. Consistency cannot be compared with the old Goatbar Berry. The taste is also amazing. ESN really hit the ground running.
Review 36,Geiler Riegel,Super lecker. Guter Geschmack und top Konsistenz,Super tasty. Good taste and great consistency
Review 37,Sehr zufrieden,Bin sehr zufrieden,Am very satisfied
Review 38,Holy moly what a bar!!,"This is insanely good! To be honest i never tried bars like this anymore because they always taste like leather cloth, but this one... this one... DAMN!","This is insanely good! To be honest I never tried bars like this anymore because they always taste like leather cloth, but this one... this one... DAMN!"
Review 39,The best ever,Ich liebe diesen Riegel. The best ever,I love this bar. The best ever
Review 40,Protein bars,Deze bars zijn zo lekker!,These bars are delicious!
Review 41,11/10,Schmecken Mega lecker,Taste super delicious
Review 42,Bester Riegel,Das ist ganz ehrlich der beste Proteinriegel den ich je gegessen habe. Ich habe schon viele probiert aber das ist der beste,This is honestly the best protein bar I have ever eaten. I've tried many but this is the best
Review 43,Top,Eine natürliche geschmacksexplosion und bestens geeignet als schnelles Frühstück,A natural taste explosion and ideal as a quick breakfast
Review 44,Kann ich nur empfehlen,Überragend die zusammensetzung der Zutaten man hat alles was man braucht,The composition of the ingredients is outstanding - you have everything you need
Review 45,Kann ich nur empfehlen.,Sehr sehr lecker:),Very very tasty :)
Review 46,😋,"Echt lecker, schmeckt mir sogar besser als die Berries-Variante… und lässt sich auch besser kauen 😁","Really delicious, I even like it better than the Berries version... and it's easier to chew too 😁"
Review 47,GOAT bar is top,Hele lekkere bar met prima macro’s,Hele lekkere bar met prima macro’s
Review 48,Decent,Really great taste and brilliant nutritionally but I found it a bit too hard.,Really great taste and brilliant nutritionally but I found it a bit too hard.
Review 49,"Guter Pre-Workout, wenns schnell gehen muss",Der Goat Bar Berries schmeckt mir sehr gut und nütze ich gerne als Pre-Workout :-),I really like the Goat Bar Berries and like to use them as a pre-workout :-)
Review 50,Bon produit,"Pour l'instant je n'ai pas tout testé j'ai pris beaucoup d'échantillons 
Le sucre est présent a mon gout","Pour l'instant je n'ai pas tout testé j'ai pris beaucoup d'échantillons 
The sucre is present in my gout"
Review 51,Sehr gut,Ein sehr leckerer und sättigender Riegel mit super Nährwerten. Für unterwegs habe ich mittlerweile gern einen dabei.,A very tasty and filling bar with great nutritional values. I now like to have one with me when I'm on the go.
Review 52,TOP-Müsliriegel,,
Review 53,Sehr gelungen der GOAT Bar,"Ich finde den Riegel richtig gut, schöne bissfeste Abwechslung zu den Designer Bars.","I think the bar is really good, a nice bite-proof change from the designer bars."
Review 54,Recommendation,I recommend  esn to my friend  and my lads in the gym,I recommend it to my friend and my lads in the gym
Review 55,GOAT Bar is GOAT,"Leckerer Proteinriegel, der satt macht und Dich mit Protein versorgt.
Gut für alle, bei denen es nicht immer Schokolade sein muss","Delicious protein bar that fills you up and provides you with protein.
Good for everyone who doesn't always have to have chocolate"
Review 56,Top !!,Hij is echt super lekker !!,"Hij, it's really delicious!!"
Review 57,Heerlijke bar,Goeie bar waar je langer vol van zit!,Goeie bar was ever long full of zit!
Review 58,Stevige bite,"Heerlijke bar! Stevige bite,  goede smaak.","Great bar! Stevige bite, goede smaak."
Review 59,Endlich mal was Anderes! 😍,"Schmeckt wie ein gnatschiger Haferflocken-Müsli Riegel. Ein paar Beeren drin und nicht zu süß. Mal was ganz anderes als die typischen Eiweiß-Riegel, hat aber trotzdem bissi Eiweiß drin. Echt gut!","Tastes like a tasty oatmeal muesli bar. A few berries in there and not too sweet. Something completely different than the typical protein bars, but still has a bit of protein in it. Really good!"
Review 60,Aanrader,Een aanrader om deze GOAT Bar te proeven,You can also test your GOAT Bar here
Review 61,Goat bar,Ze zijn heerlijk zeker een aanrader . Ik neem het als ontbijt,Ze zijn heerlijk zeker aanrader . I don't need it as an ontbijt
Review 62,Mein Energie-Booster in den Bergen,"Diese Riegel sind für mich die perfekte Begleitung auf jeder Bergtour! Sie schmecken unglaublich gut, haben eine ideale Konsistenz, weder zu trocken noch zu klebrig, und machen richtig satt. Gleichzeitig liefern sie ordentlich Energie, genau das, was man unterwegs braucht. Für mich ein absolutes Must-have im Rucksack!","For me, these bars are the perfect accompaniment on every mountain tour! They taste incredibly good, have an ideal consistency, neither too dry nor too sticky, and are really filling. At the same time, they provide plenty of energy, exactly what you need on the go. An absolute must-have in my backpack!"
Review 63,Sehr lecker Snack mit Power,Sehr sehr lecker und macht gut satt. Perfekter Snack!,"Very, very tasty and fills you up well. Perfect snack!"
Review 64,Smaken verschillen,"Ieder zijn eigen smaak.
Ik.persoonlijk vond hem niet lekjer","Everyone has their own smak.
Ik.personallijk fromd hem niet lekjer"
Review 65,Piacevole sorpresa,"Buone barrette, sapore dalla tendenza dolce senza diventare stucchevole e senza un eccessiva presenza di aromi tale da confondere il palato","Buone barrette, sapore dalla tendenza dolce senza diventare stucchevole e senza an eccessiva presence di aromi tale da confondere il palato"
Review 66,schmeckt gut,Sehr lecker,Delicious
Review 67,Top Produkte und hält was es verspricht,Top,Top
Review 68,Richtig gut was zum Kauen!,Darauf hab ich gewartet: ein „Müsli“-Riegel mit ordentlich Protein! Normale Protein-Riegel sind mir oft zu süß und man kann sie nicht gut bei Wärme transportieren. Der Goat-Bar ist hier aber perfekt und man hat durch die feste Konsistenz gut was zu Kauen. Fühlt sich dann auch nach Mahlzeit an und nicht nur nach Snack.,This is what I was waiting for: a “muesli” bar with lots of protein! Normal protein bars are often too sweet for me and cannot be transported well in the heat. The Goat Bar is perfect here and the firm consistency makes it easy to chew. It feels like a meal and not just a snack.
Review 69,Perfekt für das Frühstück unterwegs,"Schmeckt wirklich sehr gut und wenn man unterwegs ist, für ein Frühstücksersatz Ideal",It tastes really good and is ideal as a breakfast substitute when you're on the go
Review 70,neuer Lieblingsriegel,"super lecker
gute Süße
macht satt
prima Nährwerte","super tasty
good sweetie
fills you up
great nutritional values"
Review 71,Zu empfehlen,Die Riegel schmecken sehr gut,The bars taste very good
Review 72,Nieuwe reep bevalt goed!,"Stevige hap, vult goed!","Stevige hap, vult good!"
Review 73,Perfekt,Relativ süß aber perfekt nach dem Training.,Relatively sweet but perfect after training.
Review 74,Geisteskrank,Diese Riegel sind einfach brutal. Geschmacklich einfach Top und man hat ein langanhaltendes sättigungsgefühl👍,These bars are just brutal. The taste is simply great and you have a long-lasting feeling of satiety👍
Review 75,GOAT Bar,"GOAT Bar haben für mich genau die richtige  Konsistenz, schmecken fruchtig und nussig.  Ich bin voll begeistert! 😍",GOAT Bar have exactly the right consistency for me and taste fruity and nutty.  I'm absolutely thrilled! 😍
Review 76,GOAT ist GOAT,schmackhafter Engerieriegel aus natürlichen Zutaten. Liefert Power UND Eiweis.,tasty energy bar made from natural ingredients. Provides power AND protein.
Review 77,Lekker!,Ideaal als goed vullend en lekker tussendoortje!,Ideal as a goed vullend and lekker tussendoortje!
Review 78,Riegel,Super lecker und macht lange satt,Super tasty and keeps you full for a long time
Review 79,Super Produkt,Lecker,Yummy
Review 80,Lecker wars,"Sehr lecker!
Aber es klebt zwischen den Zähnen.
Also immer was zum Trinken dabei haben.","Delicious!
But it sticks between your teeth.
So always have something to drink with you."
Review 81,Mehr davon,,
Review 82,Totally recommend!,Loved it! Packed with energy!,Loved it! Packed with energy!
Review 83,Natur Pur,"der riegel ist zwar etwas „trockener“.
aber dafür hat er hauptsächlich natürliche zutaten was ich sehr super finde!!","The bar is a bit “dry”.
But it mainly has natural ingredients, which I think is really great!!"
Review 84,Kei goei reepje,Wel lekker gezond reepje,We're happy to answer
Review 85,Gut,schmeckt gut aber ist ein bisschen klebrig,Tastes good but is a bit sticky
Review 86,Sehr gut,,
Review 87,Ich bin Fan,"Die bars sind richtig gut!
Lecker! Und für zwischendurch oder als Trainings-Snack genau richtig!","The bars are really good!
Yummy! And just right for in between meals or as a training snack!"
Review 88,Einfach lecker,Sehr leckerer Riegel mit super Nährwerten,Very tasty bar with great nutritional values
Review 89,Überzeugt!,"Gute Inhaltsstoffe, gute Werte, Geschmack super","Good ingredients, good values, taste great"
Review 90,Einmal was anderes,"Lecker ,konnte nur die Hälfte essen. Sehr  Sättigend gut mit den Nüssen und Früchten","Delicious, I could only eat half of it. Very filling with the nuts and fruits"
Review 91,GOAT Bar ♡,Megggaa extrem geiler Geschmack 🤩🤩🙏,Megggaa extremely great taste 🤩🤩🙏
Review 92,Schmecken klasse,"Schmecken sehr gut, muss man zwar ordentlich kauen aber dafür macht es auch gut satt. Für den kleinen Hunger unterwegs oder vor/nach dem Gym wirklich praktisch.","It tastes very good, you have to chew a lot but it also fills you up. Really practical for a little hunger on the go or before/after the gym."
Review 93,Lecker,Sehr lecker und weniger süß als die Satisbites. Nehme ich gern vor dem Training,Very tasty and less sweet than the Satisbites. I like to take it before training
Review 94,GOAT Bar 🥇,"Goat Bar ist definitiv eine ganz große Empfehlung!! Super lecker, definitiv etwas ganz Anderes - NEUES, was ich so noch nie gegessen habe; ein Proteinriegel, der nicht belastet, leicht bekömmlich ist und den Hunger für Stunden stillt!!","Goat Bar is definitely a big recommendation!! Super tasty, definitely something completely different - NEW, something I've never eaten before; a protein bar that is not burdensome, easy to digest and satisfies hunger for hours!!"
Review 95,Konzept gut,"Mein Mann liebt diesen Riegel, bei i/m fünf Sterne, mir ist er ein bisschen zu trocken deshalb drei Sterne, ergibt 4 gesamt. Er könnte saftiger sein, aber er sättigt gut","My husband loves this bar, five stars at i/m, it's a bit too dry for me so three stars, makes 4 overall. It could be juicier, but it fills you up well"
Review 96,Deze zal ik nog een keer bestellen,Een oprecht lekkere reep die goed vult. Voor mensen die snel een opgeblazen buik hebben is dit echt een aanrader,An oprecht lekkere reep the good value. For people who quickly get an opgeblazen buik hebben this is really a device
Review 97,Ist für gelegentlich ok,"Der Riegel ist ok, er ist ziemlich klebrig im Mund und etwas bitter im Geschmack. Er könnte süßer sein und weniger nach Molkeprotein schmecken.","The bar is ok, it is quite sticky in the mouth and a bit bitter in taste. It could be sweeter and taste less like whey protein."
Review 98,Netter Snack,"Etwas zu hart zum Essen, aber sonst ist es ein ganz guter Snack.","A little too hard to eat, but otherwise it's a pretty good snack."
Review 99,"Geschmack top, Konsistenz zu hart",Guter Geschmack. Ich hätte sie mir aber softer vorgestellt.,Good taste. But I would have imagined it to be softer.
Review 100,"Nährwerte Top, Geschmack in Ordnung","Top Zusammensetzung des Riegels und optimale Nährwerte.
Allerdings ein klein wenig bitter geschmacklich im Abgang und es werden gute Zähne benötigt.
Muss net schmecke, muss wirke.
(Geschmack 6/10)","Top composition of the bar and optimal nutritional values.
However, the taste is a little bitter in the finish and good teeth are required.
It doesn't have to taste good, it has to work.
(Taste 6/10)"
Review 101,Sehr lecker,Schmeckt sehr gut nicht zu süß genau richtig,"Tastes very good, not too sweet, just right"
Review 102,Gut,"Geschmacklich war er gut, die Konsistenz war etwas zäh","The taste was good, but the consistency was a bit tough"
Review 103,"Lecker, macht satt… Super 👍🏼","Mein Sohn und ich finden den Riegel mega! 
Man hat ordentlich damit zu kauen und er hält lange satt. 
Wir sind begeistert und haben sofort nach dem ersten Probekarton drei Stück nachbestellt.","My son and I think the bar is great! 
It's easy to chew and keeps you full for a long time. 
We are thrilled and ordered three more immediately after the first sample box."
Review 104,Lecker,"Sehr lecker aber auch sehr hart. Für Zahnspangen Träger oder Leute mit sehr empfindlich Zähnen nicht zu empfehlen.
Sehr lecker und macht ordentlich satt immer wieder gerne 😉","Very tasty but also very hard. Not recommended for braces wearers or people with very sensitive teeth.
Very tasty and always fills you up 😉"
Review 105,Heerlijk,"Heerlijke reep, én zonder chocolade!","Heerlijke reep, en zonder chocolate!"
Review 106,Top,Geschmacklich sehr gut nicht so süß sehr natürlich 👍,"Tastes very good, not so sweet, very natural 👍"
Review 107,Goede smaak!,"Smaak is erg goed, structuur is een beetje stug en plakkerig","Smaak is good, the structure is beautiful and plain"
Review 108,nur zu empfehlen!,"Top Werte ein Regel, den man nur weiter empfehlen kann und einfach mal wirklich ein Unterschied mitbringt.","Top values, a rule that we can only recommend and that really makes a difference."
Review 109,Goatbar ist Goalbar,"Alles in allem ein gelungener, gesunder Snack für zwischendurch. Ich nutzte ihn mit als Frühstückersatz, da es auf der Arbeit bei mir mal schneller gehen muss. Die Konsistenz ist okay. Hat was von einem Müsliriegel, der jedoch etwas klebrigen ist. Deswegen 4/5 Sternen","All in all, a successful, healthy snack for in between meals. I used it as a breakfast substitute because I need to go quicker at work. The consistency is okay. It has something like a muesli bar, but is a bit sticky. Therefore 4/5 stars"
Review 110,Super körniger Riegel,"Nicht zu süß ,hart und echt sättigend .Die Beeren vervollständigen den tolle,fruchtigen Geschmack","Not too sweet, hard and really filling. The berries complete the great, fruity taste"
Review 111,GOAT,Schmeckt sehr gut,Tastes very good
Review 112,Sehr lecker!,Sehr lecker und soft und nicht zu süß!,Very tasty and soft and not too sweet!
Review 113,Ganz ok,"Sehr lecker 
Leider nur sehr fest un klebrig 😏","Very tasty 
Unfortunately only very firm and sticky 😏"
Review 114,Guter Snack für Zwischendurch,Nette Alternative zu den süßen Proteinriegeln. Liefert Energie für den Tag und beschwert nicht.,Nice alternative to the sweet protein bars. Provides energy for the day and doesn't weigh you down.
Review 115,Leckere Alternative zum Protein-Bar,"Eine schöne Alternative zu den Protein-Bars.
Etwas mehr in Richtung Müsli-Riegel, aber sehr chewy und reichhaltig.","A nice alternative to protein bars.
A little more like a muesli bar, but very chewy and rich."
Review 116,Empfehlenswert,Sehr lecker.,Delicious.
Review 117,Perfektes Pre-Workout,"Super Riegel, vor allem als Pre-Workout. Geschmacklich für mich sehr ansprechend, nur die Konsistenz ist etwas gewöhnungsbedürftig, für mich aber kein Grund für eine schlechtere Bewertung.
Nährwerte sind auch super!","Great bar, especially as a pre-workout. The taste is very appealing to me, but the consistency takes some getting used to, but for me that's no reason for a lower rating.
Nutritional values ​​are great too!"
Review 118,Lecker 😋,"Der Riegel ist sehr fest, aber der Geschmack ist super, hatte ihn zum Wandermarathon dabei und er hat mir gute Energie für zwischendurch gegeben. Wird wieder gekauft.","The bar is very solid, but the taste is great, I took it with me for the hiking marathon and it gave me good energy for in between meals. Will buy again."
Review 119,Einfach sinnvoll,Endlich mal ein wirklich sinnvoller Riegel!,Finally a really useful bar!
Review 120,Ordentlich was zu Beißen,"Sehr lecker, gut als schneller Snack vor und nach dem Training, ordentlich was zu Beißen. Hoffentlich gibt es bald mehr Sorten (Schoko oder Erdnuss vllt?)","Very tasty, good as a quick snack before and after training, quite something to bite into. Hopefully there will be more varieties soon (chocolate or peanut maybe?)"
Review 121,Leckerster Gymbuddy,"Endlich der perfekte Pre Workout Snack, es gibt nichts Vergleichbares. Es schmilzt nichts und wird nicht platt gedrückt in der Tasche. Man hat schön was zu kauen, nicht zu süß. Bitte noch mehr Sorten und wehe ihr nehmt den aus dem Sortiment 🤣🫶","Finally the perfect pre workout snack, there's nothing like it. Nothing melts or gets flattened in the bag. It's nice to chew, not too sweet. More varieties please and woe betide you if you take it out of the range 🤣🫶"
Review 122,Geiles Teil,"Geschmacklich Mega, einfach ein geiles Teil.","Great taste, just a great thing."
Review 123,Ganz ok,Geschmacklich könnte es bisschen mehr nach Berrys schmecken und ein bisschen trocken,"In terms of taste, it could taste a bit more like berries and a bit dry"
Review 124,Leeecker,Super lecker,Super tasty
Review 125,GOAT Bar,"Ideal für unterwegs.
Top Konsistenz.
Geschmacklich 1A.","Ideal for on the go.
Top consistency.
Taste 1A."
Review 126,Top,Top sehr lecker,Top very tasty
Review 127,Natürlicher Energiekick ohne Schnickschnack,Perfekter Energiekick mit wenig Süße und trotz geringer kcal Zahl ausreichend Protein. Für mich ein Muss vor dem Training geworden :),Perfect energy kick with little sweetness and enough protein despite the low kcal count. For me it has become a must before training :)
Review 128,Wenn man es nicht so süß mag...,"Der für mich perfekte Eiweisriegel, ohne diese extreme süße. Kernig, frisch, fruchtig.","The perfect protein bar for me, without that extreme sweetness. Robust, fresh, fruity."
Review 129,,,
